subName,problemName,start,end,duration,ob,subProb,problemNum,obNew,totalObjects,startn,durationn,endn,Event
Dami,Triangle,177578,178328,750,1,Dami-Triangle,NA,1,23,0.20781023264522774,8.776857182979918e-4,0.2086879183635257,attention
Dami,Triangle,182663,186843,4180,1,Dami-Triangle,NA,1,23,0.21376094181528812,0.004891635069980808,0.21865257688526893,attention
Dami,Triangle,186853,187283,430,16,Dami-Triangle,NA,10,23,0.2186642793615129,5.032064784908487e-4,0.21916748584000376,attention
Dami,Triangle,187288,188048,760,17,Dami-Triangle,NA,11,23,0.21917333707812572,8.893881945419651e-4,0.2200627252726677,attention
Dami,Triangle,188058,193438,5380,1,Dami-Triangle,NA,1,23,0.22007442774891167,0.006295932219257595,0.22637035996816926,attention
Dami,Triangle,193468,195948,2480,17,Dami-Triangle,NA,11,23,0.22640546739690118,0.00290221410850536,0.22930768150540654,attention
Dami,Triangle,195958,198038,2080,1,Dami-Triangle,NA,1,23,0.22931938398165053,0.0024341150587464306,0.23175349904039694,attention
Dami,Triangle,198068,200068,2000,17,Dami-Triangle,NA,11,23,0.23178860646912886,0.0023404952487946448,0.2341291017179235,attention
Dami,Triangle,200078,210578,10500,1,Dami-Triangle,NA,1,23,0.2341408041941675,0.012287600056171886,0.24642840425033938,attention
Dami,Triangle,210608,218458,7850,17,Dami-Triangle,NA,11,23,0.2464635116790713,0.009186443851518981,0.2556499555305903,attention
Dami,Triangle,217973,228863,10890,18,Dami-Triangle,NA,12,23,0.2550823854327576,0.012743996629686841,0.2678263820624444,attention
Dami,Triangle,219738,220458,720,16,Dami-Triangle,NA,10,23,0.25714787248981885,8.425782895660722e-4,0.25799045077938493,attention
Dami,Triangle,221548,221918,370,16,Dami-Triangle,NA,10,23,0.259266020689978,4.329916210270093e-4,0.259699012311005,attention
Dami,Triangle,221943,223023,1080,17,Dami-Triangle,NA,11,23,0.25972826850161496,0.0012638674343491082,0.26099213593596404,attention
Dami,Triangle,224923,225173,250,13,Dami-Triangle,NA,7,23,0.26321560642231895,2.925619060993306e-4,0.2635081683284183,attention
Dami,Triangle,226778,227808,1030,17,Dami-Triangle,NA,11,23,0.265386415765576,0.001205355053129242,0.2665917708187052,attention
Dami,Triangle,228903,229403,500,17,Dami-Triangle,NA,11,23,0.2678731919674203,5.851238121986612e-4,0.268458315779619,attention
Dami,Triangle,229413,229693,280,3,Dami-Triangle,NA,3,23,0.2684700182558629,3.276693348312503e-4,0.26879768759069417,attention
Dami,Triangle,229713,229893,180,18,Dami-Triangle,NA,12,23,0.26882109254318215,2.1064457239151804e-4,0.26903173711557365,attention
Dami,Triangle,229913,230393,480,13,Dami-Triangle,NA,7,23,0.2690551420680616,5.617188597107148e-4,0.2696168609277723,attention
Dami,Triangle,230403,230713,310,18,Dami-Triangle,NA,12,23,0.2696285634040163,3.6277676356317e-4,0.2699913401675795,attention
Dami,Triangle,230728,241898,11170,19,Dami-Triangle,NA,13,23,0.27000889388194543,0.013071665964518092,0.2830805598464635,attention
